,store,address,latitude,longitude,isReserve,review
75,스타벅스 선릉로점,"서울특별시 강남구 선릉로93길 22, 대흥빌딩 1층 (역삼동)",37.505053,127.046577,general,94.0
76,스타벅스 논현힐탑점,서울특별시 강남구 논현로 648 (논현동),37.5115577,127.03226199999995,general,257.0
77,스타벅스 도산가로수길점,"서울특별시 강남구 도산대로 134, 2층 (논현동)",37.51736229999999,127.02329570000006,general,383.0
78,스타벅스 대치한티점,서울특별시 강남구 선릉로 324 (대치동),37.4984818,127.052066,general,44.0
79,스타벅스 코엑스아셈타워점,서울특별시 강남구 영동대로 517 (삼성동),37.513019,127.059838,general,89.0
80,스타벅스 대치삼성프라자점,서울특별시 강남구 영동대로 237 (대치동),37.500313,127.066961,general,61.0
81,스타벅스 테헤란로아남타워점,서울특별시 강남구 테헤란로 311 (역삼동),37.50383,127.04487,general,40.0
82,스타벅스 역삼이마트점,서울특별시 강남구 역삼로 310 (역삼동),37.499367,127.048425,general,28.0
83,스타벅스 미아뉴타운점,서울특별시 강북구 삼양로 161 (미아동),37.618319,127.021072,general,405.0
84,스타벅스 강북구청사거리점,서울특별시 강북구 도봉로 365 (수유동),37.6400354,127.0273766,general,527.0
85,스타벅스 미아사거리역점,서울특별시 강북구 도봉로 32 (미아동),37.611809,127.0306971,general,560.0
86,스타벅스 수유역점,서울특별시 강북구 도봉로 342 (번동),37.6380167,127.02613500000008,general,664.0
87,스타벅스 미아역점,서울특별시 강북구 도봉로 196 (미아동),37.626148,127.026578,general,574.0
88,스타벅스 발산역사거리점,서울특별시 강서구 공항대로 248 (마곡동),37.558509,126.835096,general,248.0
89,스타벅스 마곡역점,서울특별시 강서구 공항대로 168 (마곡동),37.559611,126.826298,general,211.0
90,스타벅스 우장산역점,서울특별시 강서구 강서로 267 (내발산동),37.549501,126.835984,general,19.0
91,스타벅스 마곡사이언스타워R점,서울특별시 강서구 마곡동로 62 (마곡동),37.5605261,126.833887,reserve,
92,스타벅스 방화DT점,서울특별시 강서구 방화대로 375 (방화동),37.574339,126.816415,general,573.0
93,스타벅스 마곡나루역점,서울특별시 강서구 마곡중앙로 161-17 (마곡동),37.56813,126.82614,general,647.0
94,스타벅스 마곡GMG점,"서울특별시 강서구 마곡중앙6로 16 (마곡동) 117,118,119,120호",37.560487,126.829667,general,567.0
95,스타벅스 가양역점,서울특별시 강서구 양천로 476 (등촌동),37.56164,126.853327,general,619.0
96,스타벅스 화곡DT점,서울특별시 강서구 등촌로 57 (화곡동),37.535149,126.863232,general,1224.0
97,스타벅스 양천향교역점,서울특별시 강서구 강서로 463 (마곡동),37.566964,126.840731,general,410.0
98,스타벅스 화곡동점,서울특별시 강서구 화곡로 142(화곡동),37.5405115,126.8372413,general,
99,스타벅스 등촌점,서울특별시 강서구 공항대로 329 (등촌동),37.5582043,126.84433919999992,general,427.0
100,스타벅스 염창역점,서울특별시 강서구 공항대로 627 (염창동),37.547359,126.874436,general,469.0
101,스타벅스 발산역점,서울특별시 강서구 강서로 388 (등촌동) 그랜드마트,37.56033,126.839279,general,624.0
102,스타벅스 가양이마트점,서울특별시 강서구 양천로 559 (가양동) 1층,37.5578966,126.86229779999996,general,526.0
103,스타벅스 까치산역점,서울특별시 강서구 강서로13길 3 (화곡동),37.532303,126.846077,general,613.0
104,스타벅스 등촌대로점,"서울특별시 강서구 공항대로 543 (염창동, 센터스퀘어), 104-2/105/106호",37.55101,126.86638,general,8.0
105,스타벅스 강서구청사거리점,"서울특별시 강서구 화곡로 350 (화곡동), 104/105/106/107호",37.5549266,126.8523133,general,36.0
106,스타벅스 낙성대역점,서울특별시 관악구 남부순환로 1908 (봉천동),37.477946,126.961193,general,334.0
107,스타벅스 관악서울대입구R점,서울특별시 관악구 관악로 158 (봉천동),37.479343,126.95278,reserve,620.0
108,스타벅스 신림DT점,서울특별시 관악구 남부순환로 1419 (신림동),37.480935,126.908407,general,1020.0
109,스타벅스 서울대역점,서울특별시 관악구 남부순환로 1817 (봉천동),37.481599,126.9522,general,682.0
110,스타벅스 낙성대DT점,서울특별시 관악구 남부순환로 1948 (봉천동),37.476169,126.965005,general,714.0
111,스타벅스 사당점,서울특별시 관악구 남부순환로 2082-25,37.47601,126.980997,general,579.0
112,스타벅스 보라매대교점,서울특별시 관악구 보라매로3길 23 (봉천동) 1층,37.491449,126.925432,general,529.0
113,스타벅스 신림사거리점,서울특별시 관악구 남부순환로 1619 (신림동),37.484768,126.930467,general,649.0
114,스타벅스 신림점,서울특별시 관악구 신림로 355-1 (신림동),37.48609493,126.9291602,general,
115,스타벅스 신림역포도몰점,"서울특별시 관악구 신림로 330, PODO MALL 1층 101 일부 (신림동)",37.48385383,126.9301799,general,841.0
